p_t,ce,fl,gfl_tau0.3,gfl_q_tau0.3,gfl_tau1.0,gfl_q_tau1.0,gfl_tau2.0,gfl_q_tau2.0,gfl_tau5.0,gfl_q_tau5.0
0.9999929666519165,7.70681981521193e-06,1.1308185248585264e-15,1.1308185248585264e-15,1.1253279514153057e-15,1.1308185248585264e-15,1.1253279514153057e-15,1.1308185248585264e-15,1.1253279514153057e-15,1.1308185248585264e-15,1.1253279514153057e-15
0.9999736547470093,2.910897455876693e-05,6.060960517110733e-14,6.060960517110733e-14,6.055752280924656e-14,6.060960517110733e-14,6.055752280924656e-14,6.060960517110733e-14,6.055752280924656e-14,6.060960517110733e-14,6.055752280924656e-14
0.8123481869697571,0.19684889912605286,0.01940431259572506,0.01907244697213173,0.017296941950917244,0.018334433436393738,0.01662089116871357,0.017361028119921684,0.015729526057839394,0.014911632984876633,0.01348838396370411
0.7619335651397705,0.25286075472831726,0.039272937923669815,0.03820633515715599,0.03360818699002266,0.035900477319955826,0.03155287355184555,0.032993704080581665,0.028963906690478325,0.026309944689273834,0.023020781576633453
0.9280334115028381,0.09335432201623917,0.0014148375485092402,0.0014112001517787576,0.0013627568259835243,0.0014027735451236367,0.001354590873233974,0.0013908820692449808,0.0013430670369416475,0.0013562081148847938,0.001309467013925314
0.8013960123062134,0.20839910209178925,0.022907188162207603,0.022469542920589447,0.02024684101343155,0.021501751616597176,0.019365407526493073,0.020236849784851074,0.018213868141174316,0.017112815752625465,0.015372540801763535
0.9999488592147827,5.4177224228624254e-05,4.250602691005523e-13,4.250602691005523e-13,4.252512513132356e-13,4.250602691005523e-13,4.252512513132356e-13,4.250602691005523e-13,4.252512513132356e-13,4.250602691005523e-13,4.252512513132356e-13
0.8077985048294067,0.20163494348526,0.020812688395380974,0.02043968439102173,0.018487542867660522,0.019612092524766922,0.017731238156557083,0.018524600192904472,0.016737809404730797,0.015809064731001854,0.014259304851293564
0.9999481439590454,5.4772866860730574e-05,4.4183783693384215e-13,4.4183783693384215e-13,4.41840167968513e-13,4.4183783693384215e-13,4.41840167968513e-13,4.4183783693384215e-13,4.41840167968513e-13,4.4183783693384215e-13,4.41840167968513e-13
0.810569703578949,0.19871632754802704,0.01994691602885723,0.01959942653775215,0.0177563838660717,0.018827354535460472,0.017049789428710938,0.017810499295592308,0.016119515523314476,0.01525941677391529,0.013787589967250824
0.9998574256896973,0.00015330147289205343,9.347344946675218e-12,9.347344946675218e-12,9.34599012764048e-12,9.347344946675218e-12,9.34599012764048e-12,9.347344946675218e-12,9.34599012764048e-12,9.347342344590004e-12,9.345989260278742e-12
0.9999922513961792,8.451544090348762e-06,1.5223020123655319e-15,1.5223020123655319e-15,1.5223032829149528e-15,1.5223020123655319e-15,1.5223032829149528e-15,1.5223020123655319e-15,1.5223032829149528e-15,1.5223020123655319e-15,1.5223032829149528e-15
0.9542950987815857,0.059144098311662674,0.0003649096470326185,0.00036452998756431043,0.0003566475643310696,0.00036364689003676176,0.00035578166716732085,0.0003623914089985192,0.0003545506624504924,0.0003586685925256461,0.00035090037272311747
0.44019442796707153,0.5896939039230347,0.42327171564102173,0.3681654930114746,0.24668309092521667,0.2789520025253296,0.18439295887947083,0.203712597489357,0.1325143426656723,0.10818523913621902,0.0680685043334961
0.9999563694000244,4.639479084289633e-05,2.64461439943367e-13,2.64461439943367e-13,2.643249388898511e-13,2.64461439943367e-13,2.643249388898511e-13,2.64461439943367e-13,2.643249388898511e-13,2.64461439943367e-13,2.643249388898511e-13
0.9657636880874634,0.04365069791674614,0.00015172018902376294,0.0001516315242042765,0.00014918411034159362,0.00015142500342335552,0.00014898058725520968,0.00015113073459360749,0.0001486905966885388,0.00015025374887045473,0.00014782635844312608
0.9948590993881226,0.005753048695623875,4.5535762183135375e-07,4.553515680072451e-07,4.542581280020386e-07,4.5533752768278646e-07,4.542441445209988e-07,4.553175472210569e-07,4.542242209026881e-07,4.552573784621927e-07,4.5416416583066166e-07
0.99994957447052,5.37102205271367e-05,4.0904627775228963e-13,4.0904627775228963e-13,4.089562076568104e-13,4.0904627775228963e-13,4.089562076568104e-13,4.0904627775228963e-13,4.089562076568104e-13,4.0904627775228963e-13,4.089562076568104e-13
0.9990589022636414,0.0011723136994987726,3.113870716831002e-09,3.1138693845633725e-09,3.112510915670441e-09,3.1138662759389035e-09,3.112508251135182e-09,3.113861390957595e-09,3.112502922064664e-09,3.1138478462366947e-09,3.1124893773437634e-09
0.8028026223182678,0.20689478516578674,0.022433912381529808,0.02201121114194393,0.019850382581353188,0.021075766533613205,0.01899777539074421,0.019851690158247948,0.017882557585835457,0.0168211180716753,0.015124091878533363
0.7867956757545471,0.2240636795759201,0.02821042761206627,0.027591662481427193,0.024645719677209854,0.026234187185764313,0.023419024422764778,0.02448251098394394,0.02183694764971733,0.020266197621822357,0.018033403903245926
0.02902391366660595,1.3696142435073853,1.564509391784668,1.1726065874099731,0.14587092399597168,0.7370362281799316,0.08255011588335037,0.48030319809913635,0.04969124123454094,0.23435275256633759,0.02206152118742466
0.8012669682502747,0.2079864889383316,0.022890329360961914,0.022452453151345253,0.02022988721728325,0.021484212949872017,0.019348105415701866,0.0202188678085804,0.018196240067481995,0.017094429582357407,0.01535475067794323
0.7858510613441467,0.22456660866737366,0.02851347252726555,0.027882663533091545,0.024891402572393417,0.02649950608611107,0.02364214137196541,0.02471620962023735,0.022032346576452255,0.02043106220662594,0.018168777227401733
