bucket,n,ce,fl,gfl_tau0.3,gfl_tau1.0,gfl_tau2.0,gfl_tau5.0,gfl_q_tau0.3,gfl_q_tau1.0,gfl_q_tau2.0,gfl_q_tau5.0
p_t < 1e-3 (confidently-wrong),2,1.3506779670715332,1.355589509010315,1.0418901443481445,0.6765677332878113,0.45077216625213623,0.22524958848953247,0.003672294318675995,0.0022570090368390083,0.001451002899557352,0.0006986564258113503
"p_t in [1e-3, 0.05)",78,1.3199353218078613,1.513405680656433,1.134700059890747,0.7129632234573364,0.46427759528160095,0.22625862061977386,0.15330250561237335,0.08679845184087753,0.05216770991683006,0.023071950301527977
"p_t in [0.05, 0.30)",336,1.128048300743103,1.3329107761383057,1.0151296854019165,0.6438301801681519,0.41798871755599976,0.2006196528673172,0.3279002606868744,0.19690291583538055,0.12136854231357574,0.05384097620844841
"p_t in [0.30, 0.60) (mid-hard)",245,0.6269367933273315,0.43072372674942017,0.37442976236343384,0.28468626737594604,0.20954827964305878,0.11328694969415665,0.2503884732723236,0.1886780858039856,0.13732227683067322,0.07237905263900757
"p_t in [0.60, 0.95)",7106,0.21073167026042938,0.02854909561574459,0.027713263407349586,0.02594611421227455,0.0237845778465271,0.019015882164239883,0.024308161810040474,0.02275892160832882,0.020861880853772163,0.01666981540620327
"p_t in [0.95, 1.0)",12233,0.005440335720777512,2.1684352759621106e-05,2.166590275010094e-05,2.1622958229272626e-05,2.1561874746112153e-05,2.1380486941779964e-05,2.1247766198939644e-05,2.1205600205576047e-05,2.1145626305951737e-05,2.0967529053450562e-05
